id	level	doi	outgoing	incoming
10.1007/bf00116348	1	10.1007/bf00116348	0	0
10.1007/bf00116349	1	10.1007/bf00116349	0	1
10.1007/bf00116350	1	10.1007/bf00116350	0	0
10.1007/bf00116351	1	10.1007/bf00116351	0	0
10.1007/bf00116352	1	10.1007/bf00116352	0	1
10.1007/bf00117340	1	10.1007/bf00117340	4	90
10.1007/bf00117341	1	10.1007/bf00117341	0	1
10.1007/bf00117342	1	10.1007/bf00117342	7	1
10.1007/bf00117343	1	10.1007/bf00117343	3	1
10.1007/bf00117344	1	10.1007/bf00117344	0	0
10.1007/bf00117345	1	10.1007/bf00117345	0	0
10.1007/bf00117346	1	10.1007/bf00117346	0	0
10.1007/bf00117347	1	10.1007/bf00117347	0	0
10.1007/bf00118599	1	10.1007/bf00118599	0	0
10.1007/bf00118600	1	10.1007/bf00118600	4	1
10.1007/bf00118601	1	10.1007/bf00118601	3	6
10.1007/bf00118602	1	10.1007/bf00118602	3	13
10.1007/bf00118603	1	10.1007/bf00118603	5	3
10.1007/bf00118604	1	10.1007/bf00118604	3	1
10.1007/bf00118605	1	10.1007/bf00118605	2	0
10.1007/bf00118606	1	10.1007/bf00118606	0	0
10.1007/bf00118607	1	10.1007/bf00118607	0	0
10.1007/bf00118889	1	10.1007/bf00118889	0	1
10.1007/bf00118890	1	10.1007/bf00118890	7	0
10.1007/bf00118891	1	10.1007/bf00118891	3	2
10.1007/bf00118892	1	10.1007/bf00118892	1	1
10.1007/bf00118893	1	10.1007/bf00118893	0	0
10.1007/bf00118894	1	10.1007/bf00118894	0	0
10.1007/bf00118895	1	10.1007/bf00118895	0	0
10.1007/bf00118896	1	10.1007/bf00118896	0	0
10.1007/bf00118897	1	10.1007/bf00118897	0	0
10.1007/bf00118898	1	10.1007/bf00118898	0	0
10.1007/bf00119888	1	10.1007/bf00119888	0	3
10.1007/bf00119889	1	10.1007/bf00119889	0	0
10.1007/bf00119890	1	10.1007/bf00119890	0	0
10.1007/bf00119891	1	10.1007/bf00119891	0	0
10.1007/bf00119892	1	10.1007/bf00119892	0	2
10.1007/bf00119893	1	10.1007/bf00119893	0	0
10.1007/bf00119894	1	10.1007/bf00119894	0	0
10.1007/bf00119895	1	10.1007/bf00119895	0	0
10.1007/bf00119896	1	10.1007/bf00119896	0	0
10.1007/bf00119897	1	10.1007/bf00119897	0	0
10.1007/bf00119898	1	10.1007/bf00119898	0	0
10.1007/bf00120961	1	10.1007/bf00120961	0	0
10.1007/bf00120962	1	10.1007/bf00120962	0	0
10.1007/bf00120963	1	10.1007/bf00120963	3	0
10.1007/bf00120964	1	10.1007/bf00120964	1	0
10.1007/bf00120965	1	10.1007/bf00120965	4	0
10.1007/bf00120966	1	10.1007/bf00120966	3	0
10.1007/bf00120967	1	10.1007/bf00120967	0	1
10.1007/bf00120968	1	10.1007/bf00120968	0	0
10.1007/bf00120969	1	10.1007/bf00120969	0	0
10.1007/bf00120970	1	10.1007/bf00120970	0	0
10.1007/bf00124144	1	10.1007/bf00124144	0	0
10.1007/bf00124145	1	10.1007/bf00124145	5	1
10.1007/bf00124146	1	10.1007/bf00124146	0	7
10.1007/bf00124147	1	10.1007/bf00124147	8	0
10.1007/bf00124148	1	10.1007/bf00124148	4	0
10.1007/bf00124149	1	10.1007/bf00124149	11	2
10.1007/bf00124150	1	10.1007/bf00124150	0	0
10.1007/bf00124151	1	10.1007/bf00124151	5	2
10.1007/bf00124152	1	10.1007/bf00124152	0	0
10.1007/bf00124153	1	10.1007/bf00124153	2	0
10.1007/bf00124154	1	10.1007/bf00124154	0	0
10.1007/bf00125221	1	10.1007/bf00125221	2	0
10.1007/bf00125222	1	10.1007/bf00125222	0	19
10.1007/bf00125223	1	10.1007/bf00125223	0	17
10.1007/bf00125224	1	10.1007/bf00125224	1	17
