doi	level
10.1007/bf01891377	2
10.1007/bf01891378	2
10.1007/bf01891381	2
10.1007/bf01891382	2
10.1007/bf01891411	2
10.1007/bf01891412	2
10.1007/bf01891413	2
10.1007/bf01891414	2
10.1007/bf01891415	2
10.1007/bf01891416	2
10.1007/bf01891417	2
10.1007/bf01891418	2
10.1007/bf01891428	2
10.1007/bf01891429	2
10.1007/bf01891430	2
10.1007/bf01891431	2
10.1007/bf01891433	2
10.1007/bf01891439	2
10.1007/bf01891440	2
10.1007/bf01891441	2
10.1007/bf01891442	2
10.1007/bf01891443	2
10.1007/bf01891446	2
10.1007/bf01891447	2
10.1007/bf01891449	2
10.1007/bf01891716	2
10.1007/bf01891717	2
10.1007/bf01891718	2
10.1007/bf01891719	2
10.1007/bf01891720	2
10.1007/bf01891721	2
10.1007/bf01891722	2
10.1007/bf01891915	2
10.1007/bf01891917	2
10.1007/bf01891919	2
10.1007/bf01892673	2
10.1007/bf01892674	2
10.1007/bf01892675	2
10.1007/bf01894031	2
10.1007/bf01894032	2
10.1007/bf01894033	2
10.1007/bf01894034	2
10.1007/bf01901816	2
10.1007/bf01901817	2
10.1007/bf01901818	2
10.1007/bf01901819	2
10.1007/bf01901821	2
10.1007/bf01905884	2
10.1007/bf01905885	2
10.1007/bf01905886	2
10.1007/bf01905887	2
10.1007/bf01905888	2
10.1007/bf01905889	2
10.1007/bf01905893	2
10.1007/bf01908544	2
10.1007/bf01908545	2
10.1007/bf01908546	2
10.1007/bf01908547	2
10.1007/bf01908550	2
10.1007/bf01908551	2
10.1007/bf01908553	2
10.1007/bf01908610	2
10.1007/bf01908619	2
10.1007/bf01908620	2
10.1007/bf01908621	2
10.1007/bf01908622	2
10.1007/bf01908623	2
10.1007/bf01908624	2
10.1007/bf01908625	2
10.1007/bf02064275	2
10.1007/bf02064276	2
10.1007/bf02064277	2
10.1007/bf02064278	2
10.1007/bf02064280	2
10.1007/bf02064281	2
10.1007/bf02065174	2
10.1007/bf02065175	2
10.1007/bf02065176	2
10.1007/bf02065177	2
10.1007/bf02065179	2
10.1007/bf02065180	2
10.1007/bf02073159	2
10.1007/bf02073162	2
10.1007/bf02077434	2
10.1007/bf02077435	2
10.1007/bf02077436	2
10.1007/bf02077437	2
10.1007/bf02077438	2
10.1007/bf02077439	2
10.1007/bf02176632	1
10.1007/bf02176633	1
10.1007/bf02176634	1
10.1007/bf02176635	1
10.1007/bf02176636	1
10.1007/bf02176638	1
10.1007/bf02176639	1
10.1007/bf02176640	1
10.1007/bf02176642	1
10.1007/bf02176644	1
10.1007/bf02176645	1
10.1007/bf02176647	1
10.1007/bf02176649	1
10.1007/bf02252792	1
10.1007/bf02252794	1
10.1007/bf02252803	1
10.1007/bf02252804	1
10.1007/bf02252805	1
10.1007/bf02252806	1
10.1007/bf02252807	1
10.1007/bf02259530	1
10.1007/bf02259532	1
10.1007/bf02259533	1
10.1007/bf02259573	1
10.1007/bf02259576	1
10.1007/bf02259577	1
10.1007/bf02259578	1
10.1007/bf02259614	1
10.1007/bf02259615	1
10.1007/bf02259616	1
10.1007/bf02259617	1
10.1007/bf02259627	1
10.1007/bf02259628	1
10.1007/bf02259629	1
10.1007/bf02259630	1
10.1007/bf02259631	1
10.1007/bf02259632	1
10.1007/bf02259633	1
10.1007/bf02259727	1
10.1007/bf02259729	1
10.1007/bf02259730	1
10.1007/bf02259737	1
10.1007/bf02259738	1
10.1007/bf02259739	1
10.1007/bf02259757	1
10.1007/bf02259760	1
10.1007/bf02259803	1
10.1007/bf02259804	1
10.1007/bf02259805	1
10.1007/bf02259806	1
10.1007/bf02259885	1
10.1007/bf02259886	1
10.1007/bf02263544	1
10.1007/bf02263545	1
10.1007/bf02263546	1
10.1007/bf02267216	1
10.1007/bf02267217	1
10.1007/bf02267218	1
10.1007/bf02267219	1
10.1007/bf02267220	1
10.1007/bf02267221	1
10.1007/bf02267222	1
10.1007/bf02267223	1
10.1007/bf02267224	1
10.1007/bf02267226	1
10.1007/bf02267227	1
10.1007/bf02267228	1
10.1007/bf02274162	1
10.1007/bf02274163	1
10.1007/bf02277125	1
10.1007/bf02277126	1
10.1007/bf02279525	1
10.1007/bf02279526	1
10.1007/bf02279527	1
10.1007/bf02279529	1
10.1007/bf02309561	1
10.1007/bf02309562	1
10.1007/bf02309563	1
10.1007/bf02392910	1
10.1007/bf02392911	1
10.1007/bf02392912	1
10.1007/bf02392915	1
10.1007/bf02392916	1
10.1007/bf02392918	1
10.1007/bf02392920	1
10.1007/bf02392922	1
10.1007/bf02392924	1
10.1007/bf02392925	1
10.1007/bf02392926	1
10.1007/bf02392927	1
10.1007/bf02392928	1
10.1007/bf02392929	1
10.1007/bf02392932	1
10.1007/bf02392933	1
10.1007/bf02393443	1
10.1007/bf02393444	1
10.1007/bf02393447	1
10.1007/bf02393448	1
10.1007/bf02393450	1
10.1007/bf02393451	1
10.1007/bf02393452	1
10.1007/bf02393454	1
10.1007/bf02393459	1
10.1007/bf02393460	1
10.1007/bf02393461	1
10.1007/bf02393462	1
10.1007/bf02393463	1
10.1007/bf02395096	1
10.1007/bf02395097	1
10.1007/bf02395098	1
10.1007/bf02395100	1
10.1007/bf02395101	1
10.1007/bf02395106	1
10.1007/bf02395108	1
10.1007/bf02395110	1
10.1007/bf02395112	1
10.1007/bf02395113	1
10.1007/bf02395114	1
10.1007/bf02395115	1
10.1007/bf02395116	1
10.1007/bf02395117	1
10.1007/bf02395129	1
10.1007/bf02395130	1
10.1007/bf02395131	1
10.1007/bf02395132	1
10.1007/bf02395134	1
10.1007/bf02395136	1
10.1007/bf02395283	1
10.1007/bf02395285	1
10.1007/bf02395287	1
10.1007/bf02395329	1
10.1007/bf02395331	1
10.1007/bf02395332	1
10.1007/bf02395355	1
10.1007/bf02395358	1
10.1007/bf02395371	1
10.1007/bf02395372	1
10.1007/bf02395373	1
10.1007/bf02395374	1
10.1007/bf02395376	1
10.1007/bf02395426	1
10.1007/bf02395443	1
10.1007/bf02395445	1
10.1007/bf02395448	1
10.1007/bf02395450	1
10.1007/bf02395452	1
10.1007/bf02396288	1
10.1007/bf02396290	1
10.1007/bf02396291	1
10.1007/bf02396292	1
10.1007/bf02396293	1
10.1007/bf02396852	1
10.1007/bf02396855	1
10.1007/bf02396857	1
10.1007/bf02396859	1
10.1007/bf02396860	1
10.1007/bf02396861	1
10.1007/bf02396862	1
10.1007/bf02399137	1
10.1007/bf02399139	1
10.1007/bf02399140	1
10.1007/bf02399143	1
10.1007/bf02399174	1
10.1007/bf02399175	1
10.1007/bf02399178	1
10.1007/bf02399179	1
10.1007/bf02400083	1
10.1007/bf02400084	1
10.1007/bf02400087	1
10.1007/bf02400089	1
10.1007/bf02400090	1
10.1007/bf02400091	1
10.1007/bf02400103	1
10.1007/bf02400105	1
10.1007/bf02400107	1
10.1007/bf02400109	1
10.1007/bf02400114	1
10.1007/bf02400118	1
10.1007/bf02400119	1
10.1007/bf02400120	1
10.1007/bf02400138	1
10.1007/bf02400140	1
10.1007/bf02400141	1
10.1007/bf02400144	1
10.1007/bf02400251	1
10.1007/bf02400256	1
10.1007/bf02400283	1
10.1007/bf02400285	1
10.1007/bf02400286	1
10.1007/bf02400288	1
10.1007/bf02400290	1
10.1007/bf02400292	1
10.1007/bf02401440	1
10.1007/bf02401442	1
10.1007/bf02401444	1
10.1007/bf02401448	1
10.1007/bf02401603	1
10.1007/bf02401604	1
10.1007/bf02401606	1
10.1007/bf02401609	1
10.1007/bf02401610	1
10.1007/bf02401613	1
10.1007/bf02402032	1
10.1007/bf02402033	1
10.1007/bf02402036	1
10.1007/bf02402037	1
10.1007/bf02402131	1
10.1007/bf02402132	1
10.1007/bf02402133	1
10.1007/bf02402135	1
10.1007/bf02402137	1
10.1007/bf02402138	1
10.1007/bf02402175	1
10.1007/bf02402178	1
10.1007/bf02402182	1
10.1007/bf02402188	1
10.1007/bf02402207	1
10.1007/bf02402209	1
10.1007/bf02402235	1
10.1007/bf02402237	1
10.1007/bf02402239	1
10.1007/bf02402241	1
10.1007/bf02402251	1
10.1007/bf02402253	1
10.1007/bf02402256	1
10.1007/bf02402282	1
10.1007/bf02402284	1
10.1007/bf02402286	1
10.1007/bf02402317	1
10.1007/bf02402318	1
10.1007/bf02402322	1
10.1007/bf02402323	1
10.1007/bf02402324	1
10.1007/bf02402326	1
10.1007/bf02402331	1
10.1007/bf02402342	1
10.1007/bf02402343	1
10.1007/bf02402344	1
10.1007/bf02402356	1
10.1007/bf02402358	1
10.1007/bf02402413	1
10.1007/bf02402414	1
10.1007/bf02402415	1
10.1007/bf02402453	1
10.1007/bf02402454	1
10.1007/bf02402455	1
10.1007/bf02402457	1
10.1007/bf02402458	1
10.1007/bf02402459	1
10.1007/bf02402460	1
10.1007/bf02402462	1
10.1007/bf02402463	1
10.1007/bf02402465	1
10.1007/bf02402466	1
10.1007/bf02402484	1
10.1007/bf02402485	1
10.1007/bf02402487	1
10.1007/bf02402489	1
10.1007/bf02402495	1
10.1007/bf02402554	1
10.1007/bf02402555	1
10.1007/bf02402557	1
10.1007/bf02402558	1
10.1007/bf02402561	1
10.1007/bf02402629	1
10.1007/bf02402630	1
10.1007/bf02402631	1
10.1007/bf02402633	1
10.1007/bf02403757	1
10.1007/bf02403759	1
10.1007/bf02403761	1
10.1007/bf02403762	1
10.1007/bf02403764	1
10.1007/bf02403765	1
10.1007/bf02403766	1
10.1007/bf02403767	1
10.1007/bf02403769	1
10.1007/bf02403798	1
10.1007/bf02403800	1
10.1007/bf02403801	1
10.1007/bf02403802	1
10.1007/bf02403851	1
10.1007/bf02403853	1
10.1007/bf02403855	1
10.1007/bf02403857	1
10.1007/bf02403928	1
10.1007/bf02403929	1
10.1007/bf02403930	1
10.1007/bf02403932	1
10.1007/bf02404004	1
10.1007/bf02404005	1
10.1007/bf02404006	1
10.1007/bf02404167	1
10.1007/bf02404179	1
10.1007/bf02404180	1
10.1007/bf02404181	1
10.1007/bf02404200	1
10.1007/bf02404201	1
10.1007/bf02404202	1
10.1007/bf02404203	1
10.1007/bf02404242	1
10.1007/bf02404243	1
10.1007/bf02404244	1
10.1007/bf02404246	1
10.1007/bf02404252	1
10.1007/bf02404254	1
10.1007/bf02404255	1
10.1007/bf02404256	1
10.1007/bf02404262	1
10.1007/bf02404267	1
10.1007/bf02404268	1
10.1007/bf02404269	1
10.1007/bf02404273	1
10.1007/bf02404292	1
10.1007/bf02404294	1
10.1007/bf02404305	1
10.1007/bf02404306	1
10.1007/bf02404307	1
10.1007/bf02404308	1
10.1007/bf02404315	1
10.1007/bf02404316	1
10.1007/bf02404318	1
10.1007/bf02404320	1
10.1007/bf02404370	1
10.1007/bf02404371	1
10.1007/bf02404372	1
10.1007/bf02404375	1
10.1007/bf02404377	1
10.1007/bf02404382	1
10.1007/bf02404431	1
10.1007/bf02404432	1
10.1007/bf02404434	1
10.1007/bf02404436	1
10.1007/bf02404456	1
10.1007/bf02404461	1
10.1007/bf02404466	1
10.1007/bf02404505	1
10.1007/bf02404506	1
10.1007/bf02404507	1
10.1007/bf02404508	1
10.1007/bf02404509	1
10.1007/bf02404516	1
10.1007/bf02420057	1
10.1007/bf02420058	1
10.1007/bf02420060	1
10.1007/bf02420061	1
10.1007/bf02420062	1
10.1007/bf02420063	1
10.1007/bf02420065	1
10.1007/bf02426141	1
10.1007/bf02426255	1
10.1007/bf02426258	1
10.1007/bf02426299	1
10.1007/bf02426300	1
10.1007/bf02426301	1
10.1007/bf02426303	1
10.1007/bf02426307	1
10.1007/bf02426309	1
10.1007/bf02426310	1
10.1007/bf02426314	1
10.1007/bf02426315	1
10.1007/bf02426317	1
10.1007/bf02426318	1
10.1007/bf02428133	1
10.1007/bf02428136	1
10.1007/bf02428143	1
