id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight	score<perc dh pubs>	score<perc dh level 1>	score<perc dh level 2>
216756	1538	0.2884	-0.6545	1	1546	1.8887	9117	0	0	0
1028164	5235	-0.9046	-0.1146	4	347	1.0156	281	0	0	0
554378	1360	0.2388	-0.5273	1	2270	2.276	10325	0	0	0
1108297	4160	0.2703	-0.5974	1	831	1.1133	1213	0	0	0
513442	3003	-0.161	-0.1896	5	1067	1.41	3417	0	0	0
547215	2001	0.2258	-0.4964	1	1813	1.783	6880	0	0	0
298412	1963	-0.6696	0.5206	3	1347	2.1459	7012	0	0	0
194466	1547	-0.0539	-0.6911	1	2256	2.2841	9083	0	0	0
1562572	4116	-0.8864	-0.4256	4	778	1.2603	1272	0	0	0
611067	2123	-0.7845	-0.4336	4	1545	2.2663	6344	0	0	0
182396	3860	-0.5071	-0.2904	4	1377	1.1721	1662	0	0	0
666662	2546	-1.01	-0.3647	4	1116	2.2398	4762	0	0	0
158263	1700	0.2835	-0.6486	1	1228	1.6684	8336	0	0	0
671512	1075	-0.4447	0.4847	3	1777	2.8754	12660	0	0	0
548761	4588	-0.0798	0.9049	6	211	1.0603	745	0	0	0
578089	1892	-0.0339	0.6216	6	2491	2.6736	7360	0.00271739130434783	0.000815217391304348	0.00190217391304348
585929	3532	0.302	-0.6715	1	786	1.2729	2260	0	0	0
56088	4684	0.6385	0.2503	2	731	1.1111	674	0	0	0
667227	3474	-0.3751	0.1418	3	1356	1.2847	2365	0	0	0
411374	643	0.0173	-0.6565	1	2463	5.2165	17707	0	0	0
77929	2728	-0.7243	0.4338	3	1198	1.5166	4179	0	0	0
157909	3580	0.6032	0.3479	2	966	1.4122	2172	0	0	0
611142	3385	-0.975	-0.2601	4	922	1.5765	2552	0	0	0
62409	2307	0.7514	0.2792	2	1411	2.1582	5563	0.000898795613877404	0.000179759122775481	0.000719036491101923
112236	4622	0.9767	0.4373	2	320	1.0929	722	0	0	0
872857	5190	0.9587	0.3548	2	340	1.0357	319	0	0	0
554023	431	0.2404	-0.5923	1	2309	2.9299	21620	0	0	0
45894	4423	0.9917	0.4108	2	494	1.2634	905	0	0	0
362194	216	-0.7747	-0.2908	4	2915	7.333	28732	0	0	0
141287	869	-0.5518	0.2097	3	2009	2.6503	14682	0	0	0
298061	1252	-0.4853	0.6848	3	1077	2.5429	11172	0	0	0
367899	5377	0.4371	0.3921	6	113	1.026	158	0	0	0
807560	4814	0.9615	0.2819	2	531	1.125	589	0	0	0
335500	3627	1.0621	0.3171	2	740	1.5188	2064	0.00145348837209302	0.00145348837209302	0
614272	2872	-1.033	-0.2222	4	1188	1.7072	3744	0	0	0
539326	2811	-0.1324	-0.4613	1	1928	1.5987	3888	0	0	0
195503	1554	0.1923	-0.6979	1	1729	1.9292	9034	0	0	0
611314	2459	0.1592	-0.7375	1	1265	1.3969	5079	0	0	0
550690	5251	0.4455	-0.6015	1	111	1.0112	266	0	0	0
387992	2688	0.1665	-0.601	1	1370	1.3952	4332	0	0	0
546255	4795	-0.1604	0.8409	6	288	1.0514	600	0.005	0.005	0
383058	636	0.2931	-0.5305	1	1799	2.4792	17837	0	0	0
456207	2541	0.1593	0.5394	6	1090	1.3234	4767	0	0	0
251187	4210	-0.3712	0.5548	3	568	1.0997	1144	0	0	0
479169	4809	0.8737	0.3286	2	149	1.0833	593	0	0	0
517135	1613	-0.7624	0.6932	3	799	2.0691	8778	0	0	0
526298	5417	0.0554	0.063	5	190	1.0042	130	0	0	0
1447555	5261	-0.3065	1.0791	6	28	1.0073	256	0	0	0
409407	69	-0.9487	0.5997	3	1568	5.068	41372	0	0	0
551769	4606	-0.4207	0.5804	3	414	1.0358	733	0	0	0
136666	233	0.0379	0.1395	5	2187	5.5984	27763	0	0	0
998792	4544	-0.0014	-0.7935	1	885	1.0843	787	0	0	0
39939	328	0.067	-0.7292	1	2299	6.0492	24009	0	0	0
610087	5051	-0.9368	-0.3263	4	499	1.0653	423	0	0	0
123383	4796	-0.1475	-0.5841	1	971	1.0767	599	0	0	0
1510563	5359	0.1647	-0.6168	1	106	1.0085	166	0	0	0
532606	5017	0.0669	-0.5643	1	721	1.0333	450	0	0	0
563960	4891	0.9856	0.3738	2	393	1.0878	544	0	0	0
519797	850	0.3333	-0.3085	1	2148	2.3332	14934	0.0000669612963706977	0.0000669612963706977	0
408681	1210	-0.131	-0.6177	1	2459	2.7249	11486	0	0	0
547246	2222	0.2392	-0.5716	1	1714	1.7901	5935	0	0	0
609001	707	1.0342	0.2742	2	1577	3.8914	16669	0.0000599916011758354	0	0.0000599916011758354
433445	4560	0.9935	0.3183	2	373	1.1436	769	0	0	0
376930	917	-0.9159	0.5591	3	1128	2.1396	14209	0	0	0
504935	5046	0.8482	0.3709	2	387	1.0393	426	0	0	0
610209	1608	0.1851	-0.8129	1	1480	1.9622	8812	0	0	0
420859	3853	-0.9963	-0.338	4	822	1.2668	1679	0	0	0
373959	1619	-0.1386	-0.6661	1	2323	2.5128	8761	0	0	0
146193	3815	-0.1548	-0.0939	5	573	1.1184	1744	0	0	0
667574	2787	-0.8745	-0.3809	4	1449	1.831	3970	0	0	0
553769	596	0.9724	0.3979	2	1879	4.8939	18312	0	0	0
584150	4629	-0.7772	0.0518	4	635	1.0819	718	0	0	0
441652	3540	0.9855	0.4057	2	693	1.2753	2241	0	0	0
25365	3401	-0.9145	-0.3665	4	1101	1.5148	2526	0	0	0
437137	4587	1.0546	0.3628	2	347	1.246	746	0	0	0
672738	1642	0.459	-0.2139	1	1756	1.9744	8577	0.000116590882592981	0	0.000116590882592981
587115	4722	0.8023	0.0468	2	627	1.0891	649	0	0	0
408372	949	0.2591	-0.6612	1	1937	2.2408	13830	0	0	0
252190	2186	-0.723	0.6771	3	772	1.4299	6076	0	0	0
524941	4474	0.8347	0.2618	2	163	1.0621	859	0	0	0
244167	1309	-0.7738	0.7367	3	917	1.9026	10700	0	0	0
301446	434	0.0457	-0.5895	1	2361	3.5642	21526	0	0	0
749219	4664	-0.5981	0.5742	3	309	1.1147	688	0	0	0
1103992	3909	-0.3469	0.5245	3	606	1.115	1600	0.00125	0	0.00125
29228	4835	0.9501	0.025	2	308	1.037	576	0	0	0
235712	4653	-0.2714	0.2002	5	498	1.0471	697	0	0	0
476762	5114	-0.0843	0.3393	5	126	1.019	372	0	0	0
537067	5000	-0.5849	-0.0534	4	610	1.0493	463	0	0	0
309269	3091	0.2812	-0.6537	1	968	1.2665	3244	0	0	0
725564	4004	1.0409	0.3365	2	708	1.3769	1449	0	0	0
559053	2685	-0.0914	-0.1797	5	1098	1.3548	4334	0	0	0
667468	3273	-0.8257	0.3389	3	1643	1.4771	2795	0	0	0
386504	4299	-0.007	-0.6272	1	964	1.0908	1038	0	0	0
528382	4375	1.0223	0.3239	2	586	1.2605	957	0.00208986415882968	0	0.00208986415882968
669634	1862	-0.6681	0.257	3	1452	1.8755	7470	0	0	0
400772	1396	-0.4678	-0.2838	1	2510	2.829	10027	0	0	0
138378	2767	0.1671	-0.148	1	1459	1.5067	4042	0	0	0
133436	3557	-0.1578	-0.1644	5	875	1.187	2213	0	0	0
439715	2836	1.0212	0.3685	2	903	2.2133	3831	0	0	0
527372	853	0.2075	-0.5937	1	1659	2.0129	14894	0	0	0
439799	4305	0.7432	0.3106	2	313	1.315	1029	0	0	0
377137	405	-0.8632	-0.0395	4	2691	5.5951	22229	0	0	0
504396	4383	-0.7272	0.288	3	577	1.1247	946	0	0	0
571073	3245	0.3996	-0.3823	1	1020	1.458	2866	0	0	0
758877	5415	-0.6535	-0.0491	3	305	1.0075	131	0	0	0
674009	554	-0.2582	-0.3891	1	3159	3.6293	19049	0	0	0
118691	369	0.0626	-0.4074	1	3032	3.146	23124	0.0000432451133021969	0	0.0000432451133021969
917287	5380	0.4992	-0.5843	1	132	1.0016	155	0	0	0
549718	2664	-0.2921	-0.3353	5	1544	1.555	4396	0	0	0
673320	2828	0.2011	-0.8092	1	873	1.3358	3858	0	0	0
605611	4199	-0.989	-0.2661	4	482	1.0928	1161	0	0	0
439616	3130	0.9852	0.3771	2	866	1.7801	3142	0.000318268618714195	0	0.000318268618714195
278087	3121	0.5961	0.4086	2	723	1.62	3172	0	0	0
329491	2931	-0.988	0.4934	3	863	1.4791	3614	0	0	0
661810	2432	-0.5825	-0.0569	4	1359	2.0572	5165	0	0	0
225022	1534	-0.2443	-0.5176	1	2515	2.768	9177	0	0	0
1242349	5584	0.0198	-0.6257	1	221	1.0036	69	0	0	0
244920	2860	-0.8565	0.2318	3	1149	1.3363	3776	0	0	0
1451110	5656	-0.0976	-0.6329	1	248	1.0034	57	0	0	0
61509	2029	0.1005	-0.4806	1	1728	1.5329	6788	0	0	0
672548	814	0.3582	-0.5956	1	1756	2.4407	15334	0	0	0
376192	4950	1.0806	0.6224	2	236	1.0468	505	0	0	0
338283	635	0.2863	-0.593	1	2050	2.7877	17842	0	0	0
540363	294	-0.712	0.4086	3	1963	4.6959	25072	0	0	0
263467	4189	-0.8207	-0.4363	4	868	1.3197	1177	0	0	0
675231	1605	0.3374	-0.5628	1	1180	1.8698	8822	0	0	0
147202	3549	0.2264	-0.6677	1	1058	1.2243	2222	0	0	0
1238416	5514	-0.015	0.247	5	85	1.0008	90	0	0	0
242418	3336	-0.8889	-0.3406	4	1191	1.7435	2659	0	0	0
666626	4195	-0.9753	-0.2469	4	890	1.2234	1169	0	0	0
92917	3172	0.008	0.5722	6	1344	1.4513	3047	0.000328191663931736	0	0.000328191663931736
280938	2081	-0.0194	-0.5452	1	2249	2.1889	6525	0	0	0
157680	1434	-0.1323	-0.6176	1	2258	2.1796	9781	0	0	0
401680	305	-0.5521	0.3168	3	2273	5.4102	24819	0	0	0
279892	1826	-0.163	-0.2807	5	1643	1.8711	7614	0	0	0
548837	1887	0.2497	0.4323	6	1941	1.8295	7367	0.000135740464232388	0	0.000135740464232388
