id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight	score<perc dh pubs>	score<perc dh level 1>	score<perc dh level 2>
361737	3829	0.4884	-0.0136	5	247	1.0629	804	0	0	0
269434	3830	0.8523	-0.5316	2	206	1.1111	804	0	0	0
343927	3831	-0.301	0.8849	3	708	1.2096	803	0	0	0
916858	3832	-0.4761	-0.5166	1	534	1.1357	802	0	0	0
365181	3833	-0.353	-0.4903	5	428	1.0909	802	0	0	0
805197	3834	-0.5664	0.1233	1	852	1.1464	800	0	0	0
376316	3835	-0.2663	-0.2101	1	923	1.1546	800	0	0	0
338574	3836	-0.7177	-0.1159	1	271	1.0406	800	0	0	0
392543	3837	0.4574	-0.5371	2	361	1.1855	800	0	0	0
529299	3838	-0.6376	-0.328	1	774	1.0939	799	0	0	0
423003	3839	0.2588	0.6348	4	537	1.1026	798	0	0	0
324911	3840	0.1752	0.7299	3	504	1.1431	797	0	0	0
1073000	3841	0.1477	0.026	5	196	1.0642	796	0	0	0
407455	3842	-0.23	0.7062	3	720	1.2026	796	0	0	0
422422	3843	-0.1451	0.9945	3	371	1.0928	796	0	0	0
96311	3844	0.1417	-0.5853	2	425	1.2346	796	0	0	0
378055	3845	-0.4353	-0.3221	1	338	1.0985	795	0	0	0
422337	3846	-0.2316	0.8717	3	699	1.2609	795	0	0	0
66089	3847	0.6034	-0.3027	2	364	1.2006	794	0	0	0
284593	3848	0.0962	0.3348	4	736	1.135	794	0	0	0
1179086	3849	0.2496	-0.3282	2	542	1.1917	794	0	0	0
73500	3850	0.6442	0.0041	4	305	1.0797	794	0	0	0
1149425	3851	-0.2096	-0.0714	5	329	1.0671	793	0	0	0
340221	3852	0.9374	-0.272	2	331	1.1228	793	0	0	0
411611	3853	0.1056	-0.6317	2	340	1.1939	791	0	0	0
214824	3854	-0.3257	0.0277	5	345	1.0911	790	0	0	0
395764	3855	-0.1977	-0.5108	1	687	1.1466	790	0	0	0
419082	3856	-0.248	0.9023	3	550	1.2001	790	0	0	0
467529	3857	0.9488	-0.2105	2	357	1.1123	790	0	0	0
396999	3858	0.6141	0.2202	6	530	1.1635	789	0	0	0
416800	3859	-0.2969	0.7279	3	815	1.2136	789	0	0	0
317249	3860	-0.1207	-0.1877	5	478	1.1271	789	0	0	0
417227	3861	0.4417	0.4868	4	368	1.0828	788	0	0	0
681136	3862	-0.4657	-0.4997	1	542	1.1102	788	0	0	0
406155	3863	-0.2853	-0.0082	5	455	1.1367	788	0	0	0
380451	3864	0.0627	0.9016	3	530	1.1145	788	0	0	0
229040	3865	-0.2492	0.9859	3	519	1.1305	786	0	0	0
391051	3866	-0.2845	0.8729	3	598	1.1872	786	0	0	0
431565	3867	-0.6553	-0.4203	1	796	1.1963	786	0	0	0
340338	3868	0.2957	-0.5387	2	499	1.2254	786	0	0	0
457937	3869	0.0347	0.7153	3	790	1.2065	786	0	0	0
273491	3870	0.5911	0.0902	4	668	1.1832	785	0	0	0
385690	3871	-0.2318	0.4558	3	607	1.1595	784	0	0	0
348974	3872	-0.7607	-0.3087	1	467	1.0725	784	0	0	0
169119	3873	1.0091	-0.4493	2	209	1.188	784	0	0	0
415413	3874	-0.3215	0.8259	3	663	1.2035	783	0	0	0
699381	3875	-0.7905	-0.4659	1	776	1.1375	783	0	0	0
188422	3876	-0.1464	1.0165	3	764	1.199	783	0	0	0
171043	3877	0.1586	0.5492	3	473	1.1036	783	0	0	0
