id	doi	level	outgoing	incoming
pub.1009216580	10.1080/13569783.2014.895616	1	5	0
pub.1009228785	10.1080/13569783.2013.810931	1	9	2
pub.1009289120	10.1080/13569783.2015.1127153	1	6	2
pub.1009334067	10.1080/13569783.2011.541608	1	7	0
pub.1009341608	10.1080/13569783.2012.670422	1	11	2
pub.1009374958	10.1080/13569780802410624	1	0	1
pub.1009382557	10.1080/13569783.2014.928005	1	12	1
pub.1009387830	10.3389/fdigh.2016.00003	1	22	2
pub.1009495799	10.5334/4f913ca0cbb89	1	0	0
pub.1009508427	10.1145/2001416.2001418	1	21	13
pub.1009515643	10.1093/llc/fqv067	1	9	1
pub.1009516335	10.1080/13569783.2015.1092864	1	0	0
pub.1009547315	10.1145/2843947	1	30	3
pub.1009550360	10.1080/13569783.2014.959756	1	0	0
pub.1009593659	10.1080/13569783.2015.1019444	1	8	0
pub.1009616130	10.1093/llc/fqv052	1	20	10
pub.1009652661	10.1080/13569780600671021	1	1	1
pub.1009746400	10.1093/llc/fqv044	1	6	3
pub.1009910203	10.1093/llc/fqv015	1	6	11
pub.1009868604	10.1145/2983918	1	23	6
pub.1010050418	10.1080/13569783.2010.512194	1	0	0
pub.1010063773	10.1080/13569780802054802	1	14	0
pub.1010091923	10.1080/13569783.2012.670424	1	3	0
pub.1010093726	10.1145/2307723.2307726	1	15	25
pub.1010186380	10.1080/13569780600900875	1	0	0
pub.1010209115	10.1080/13569783.2015.1127146	1	0	2
pub.1010133656	10.17928/jjadh.1.1_58	1	2	0
pub.1010177043	10.1080/13569783.2016.1159125	1	0	0
pub.1010350698	10.3389/fdigh.2015.00006	1	7	2
pub.1010404878	10.1080/13569780802410749	1	0	0
pub.1010459052	10.1353/dph.2015.0006	1	0	0
pub.1010471584	10.1080/13569780500276244	1	0	0
pub.1010524705	10.1080/13569783.2012.670427	1	2	0
pub.1010559337	10.1080/135697800114212	1	0	2
pub.1010657031	10.1145/1434763.1434764	1	0	0
pub.1010682593	10.1080/13569780500103745	1	0	6
pub.1010833040	10.1080/13569783.2015.1068108	1	7	1
pub.1010844815	10.1145/2626289	1	13	3
pub.1010643551	10.1145/2629484	1	18	1
pub.1010718342	10.1080/13569780308336	1	0	0
pub.1010923949	10.1080/13569781003700086	1	12	7
pub.1010986285	10.1080/13569783.2012.727630	1	0	0
pub.1011011434	10.3389/fdigh.2015.00004	1	3	4
pub.1011033043	10.1080/13569783.2015.1027678	1	0	0
pub.1011069241	10.1080/13569783.2012.756184	1	3	2
pub.1011146176	10.1080/13569783.2015.1059260	1	4	1
pub.1011199672	10.1145/2940332	1	8	0
pub.1011274659	10.1080/13569783.2012.648993	1	0	1
pub.1011377705	10.1080/13569783.2010.512184	1	4	2
pub.1011460259	10.1353/dph.2014.0009	1	3	0
pub.1011339664	10.1145/2001416.2001417	1	5	2
pub.1011496374	10.1080/13569783.2015.1127149	1	1	1
pub.1011515624	10.1080/135697802760268712	1	0	0
pub.1011541544	10.1080/13569783.2015.1060849	1	5	3
pub.1011543425	10.1080/13569780802410731	1	0	0
pub.1011547790	10.1145/1367080.1367086	1	2	7
pub.1011654516	10.1080/13569780020031852	1	0	0
pub.1011706950	10.1145/2747882	1	30	4
pub.1011761171	10.1145/1551676.1551680	1	3	22
pub.1011817687	10.1080/13569783.2015.1020054	1	11	0
pub.1011890200	10.1080/13569783.2015.1127145	1	0	0
pub.1011738367	10.1080/13569783.2012.694039	1	0	0
pub.1012003475	10.3389/fdigh.2014.00001	1	4	2
pub.1012025245	10.1353/dph.2014.0015	1	1	1
pub.1012157293	10.1080/1356978042000185920	1	9	9
pub.1012121849	10.1080/13569783.2014.928008	1	8	3
pub.1012283137	10.1145/2532630.2532634	1	20	5
pub.1012315758	10.1080/13569780802054778	1	3	5
pub.1012320426	10.1145/2786760	1	5	3
pub.1012322295	10.1080/13569783.2011.589996	1	10	1
pub.1012365291	10.1093/llc/fqv035	1	11	0
pub.1012492382	10.1080/13569783.2011.590000	1	1	0
pub.1012497101	10.1080/13569780020031780	1	0	5
pub.1012501039	10.17928/jjadh.1.1_10	1	14	1
pub.1012542891	10.1080/13569783.2015.1059267	1	4	0
pub.1012548976	10.1080/13569780902868770	1	17	4
pub.1012352239	10.1080/13569783.2010.495282	1	3	0
pub.1012604383	10.1080/1356978042000185902	1	5	32
pub.1012625670	10.1080/13569780500437770	1	0	0
pub.1012773835	10.1080/13569783.2011.566987	1	16	6
pub.1012658466	10.1145/2611375	1	5	18
pub.1012660348	10.1080/13569783.2012.694028	1	15	5
pub.1012926348	10.17928/jjadh.1.1_107	1	7	1
pub.1012970333	10.1080/13569780701320957	1	6	4
pub.1012984870	10.1145/2659020	1	33	6
pub.1013162454	10.1080/13569780308321	1	0	0
pub.1013163365	10.1145/1841317.1841321	1	14	22
pub.1013055816	10.1080/13569783.2012.727621	1	4	1
pub.1013121313	10.1145/2611376	1	37	34
pub.1013127959	10.1080/1356978042000185894	1	1	4
pub.1013410444	10.1080/13569780802655822	1	7	1
pub.1013471970	10.1145/1805961.1805963	1	3	1
pub.1013586372	10.1080/13569780308326	1	4	3
pub.1013619588	10.1080/13569783.2014.954817	1	15	1
pub.1013517211	10.1145/2399180.2399182	1	15	5
pub.1013544715	10.1080/13569783.2015.1111970	1	1	1
pub.1013701572	10.1080/13569780020031807	1	1	2
pub.1013741789	10.1080/13569783.2014.895615	1	1	0
pub.1013749853	10.5334/4f60dd6baa298	1	2	6
pub.1013813445	10.1080/13569783.2015.1127148	1	1	0
pub.1013814801	10.1145/2693847	1	59	3
pub.1013872365	10.1080/13569780802410723	1	2	0
pub.1014033142	10.17928/jjadh.1.1_68	1	7	0
pub.1014053045	10.1145/2532630.2532631	1	8	5
pub.1014085253	10.1353/dph.2013.0017	1	0	0
pub.1014090850	10.1080/13569780120070722	1	3	3
pub.1014165869	10.1145/2538030	1	20	8
pub.1014328635	10.1145/1921614.1921619	1	47	21
pub.1014334200	10.1080/13569783.2012.756185	1	0	0
pub.1014571296	10.1080/13569780500275998	1	5	1
pub.1014573869	10.1080/13569783.2013.810924	1	7	1
pub.1014581195	10.1080/13569783.2011.566993	1	5	0
pub.1014456827	10.1080/13569783.2016.1220245	1	1	0
pub.1014696297	10.1080/13569780308319	1	1	10
pub.1014873021	10.1080/13569783.2015.1073442	1	0	0
pub.1014993897	10.1080/13569780903286022	1	8	2
pub.1014995770	10.1145/2943778	1	17	1
pub.1014996792	10.1353/dph.2014.0001	1	2	0
pub.1014562831	10.3389/fdigh.2015.00002	1	166	30
pub.1014847156	10.1080/13569780802410699	1	12	5
pub.1015198692	10.1080/13569783.2014.975111	1	4	1
pub.1015199191	10.3389/fdigh.2016.00004	1	8	4
pub.1015262413	10.1080/1356978022000007965	1	2	0
pub.1014947716	10.1093/llc/fqv042	1	1	4
pub.1014962768	10.1080/1356978042000255049	1	3	9
pub.1015218151	10.1145/2399180.2399185	1	35	70
pub.1015367998	10.1353/dph.2015.0012	1	3	1
pub.1015455055	10.1080/13569780903481086	1	1	2
pub.1015437635	10.1145/2872278	1	31	7
pub.1015570069	10.1080/13569780701321443	1	0	0
pub.1015664829	10.1080/13569780600671203	1	0	0
pub.1015778334	10.1080/13569783.2015.1060121	1	0	1
pub.1015836462	10.1080/13569783.2013.838343	1	0	0
pub.1015888407	10.1080/135697800114302	1	0	0
pub.1015904558	10.1080/13569783.2010.495266	1	3	2
pub.1015909420	10.1080/13569783.2012.727629	1	0	4
pub.1015922887	10.1080/13569780601094868	1	5	4
pub.1015635224	10.1080/13569780500276343	1	2	2
pub.1015649064	10.1080/1356978042000255067	1	9	23
pub.1015953655	10.1080/13569783.2013.836920	1	6	1
pub.1016001716	10.1080/13569783.2015.1022146	1	0	0
pub.1016009343	10.1080/13569780903286048	1	6	0
pub.1016011161	10.1080/13569783.2013.838345	1	0	0
pub.1016016521	10.1093/llc/fqv047	1	9	1
pub.1016207747	10.1080/13569783.2015.1073446	1	0	0
pub.1016226108	10.1080/13569780020031843	1	0	0
pub.1016311978	10.1080/1356978022000008027	1	1	0
pub.1016329782	10.1145/2901297	1	20	1
pub.1016368526	10.1080/13569780308333	1	0	25
pub.1016400069	10.1080/13569783.2011.617108	1	18	15
pub.1016553432	10.1080/13569783.2016.1220250	1	10	2
pub.1016690403	10.1080/13569780120070704	1	0	0
pub.1016918440	10.1353/dph.2014.0004	1	0	1
pub.1016824997	10.1145/2050096.2050098	1	3	5
pub.1016273106	10.1080/13569783.2013.787256	1	3	2
pub.1017075131	10.1080/13569783.2012.649003	1	0	0
pub.1017132841	10.1145/1367080.1367083	1	30	7
pub.1017136803	10.1080/135697800114267	1	0	1
pub.1017329837	10.1080/13569780903149196	1	0	0
pub.1017362429	10.1080/13569780210338	1	1	6
pub.1017372653	10.1353/dph.2014.0005	1	2	0
pub.1017501472	10.1080/13569780902868820	1	11	15
pub.1017525722	10.1145/2499931.2499932	1	23	6
pub.1017538805	10.1353/dph.2013.0008	1	1	0
pub.1017541052	10.1080/13569783.2015.1021321	1	0	0
pub.1017583629	10.1093/llc/fqs015	1	11	5
pub.1017754254	10.1080/13569783.2011.589988	1	2	1
pub.1017548273	10.5334/joad.ai	1	2	2
pub.1017552426	10.1353/dph.2015.0008	1	1	1
pub.1017732903	10.3389/fdigh.2016.00006	1	18	9
pub.1017940493	10.1080/135697800114285	1	0	0
pub.1017960719	10.1080/13569783.2011.541616	1	0	0
pub.1018145036	10.1080/13569780903072174	1	31	11
pub.1018217267	10.1080/13569780600900826	1	0	1
pub.1018232325	10.1080/13569780408540600	1	0	4
pub.1018258685	10.1080/13569780701559596	1	4	1
pub.1018322109	10.1093/llc/fqv057	1	0	1
pub.1018323755	10.1145/1551676.1551677	1	44	9
pub.1018291818	10.1080/13569783.2016.1155440	1	0	0
pub.1018450897	10.1145/1921614.1921615	1	13	11
pub.1018459739	10.1080/13569783.2016.1228448	1	1	0
pub.1018118866	10.1080/13569781003700045	1	3	7
pub.1018500340	10.1080/13569783.2012.694038	1	7	4
pub.1018513051	10.1145/2660776	1	23	5
pub.1018622701	10.1080/13569780802655780	1	2	1
pub.1018653476	10.1080/13569780802655848	1	1	6
pub.1018599307	10.1080/713692884	1	2	3
pub.1018615772	10.1080/1356978022000008018	1	0	0
pub.1018832713	10.1080/13569780120113193	1	0	0
pub.1018869164	10.1145/2597894	1	14	2
pub.1018915998	10.1145/2069276.2069279	1	10	0
pub.1018962739	10.1093/llc/fqv041	1	5	0
pub.1018967826	10.1080/13569783.2012.756169	1	7	6
pub.1019160335	10.1145/2700422	1	18	0
pub.1019164032	10.1080/13569783.2013.872433	1	5	0
pub.1019164497	10.1080/13569780020031771	1	2	5
pub.1019166507	10.1145/1841317.1841320	1	6	0
pub.1019301505	10.1080/13569783.2011.589995	1	3	0
pub.1019307195	10.1080/13569783.2013.836919	1	22	7
pub.1019319116	10.1080/13569783.2011.617106	1	8	9
pub.1019329681	10.1080/13569783.2011.589997	1	9	3
pub.1019060653	10.1080/13569781003700052	1	6	9
pub.1019235682	10.1080/713692877	1	3	1
pub.1019490805	10.1080/13569780120070786	1	0	0
pub.1019510312	10.1080/13569780500437986	1	0	1
pub.1019513230	10.5334/joad.ae	1	0	2
pub.1019654925	10.1080/13569783.2016.1194748	1	16	0
pub.1019049011	10.1080/13569783.2011.541617	1	0	0
pub.1019720970	10.1080/13569780802655749	1	1	6
pub.1019776758	10.5334/joad.af	1	6	0
pub.1019879422	10.1080/13569780500053072	1	2	8
pub.1019880901	10.1145/2724723	1	28	30
pub.1019976105	10.1145/3004457	1	8	1
pub.1019734627	10.1080/13569783.2015.1068109	1	6	17
pub.1019736321	10.5334/johd.3	1	9	6
pub.1020001827	10.5334/4f293686e4d62	1	8	2
pub.1020053750	10.1080/13569780500141950	1	0	0
pub.1020166264	10.1353/dph.2014.0008	1	0	0
pub.1020275087	10.1080/13569781003700078	1	8	6
pub.1020316780	10.1145/2795233	1	19	8
pub.1020436872	10.1080/13569783.2015.1092865	1	0	0
pub.1020385558	10.1080/13569783.2014.959755	1	0	0
pub.1020040357	10.1093/llc/fqu044	1	22	0
pub.1020564291	10.1093/llc/fqv014	1	2	0
pub.1020616000	10.1080/13569783.2013.787253	1	2	1
pub.1020759717	10.1080/1356978042000185939	1	0	0
pub.1020951921	10.1080/13569780500437895	1	0	0
pub.1020831524	10.1080/13569780600900800	1	0	0
pub.1020724794	10.1145/2499931.2499935	1	6	1
pub.1021088128	10.1353/dph.2014.0013	1	1	1
pub.1021090963	10.1353/dph.2015.0003	1	5	3
pub.1021146814	10.1080/13569783.2016.1220248	1	4	1
pub.1021113169	10.1080/13569783.2015.1127144	1	15	2
pub.1021128546	10.1353/dph.2014.0019	1	3	0
pub.1021134420	10.1080/13569783.2010.512182	1	4	3
pub.1021261636	10.1080/13569780500276152	1	1	1
pub.1021363917	10.1145/1613672.1613673	1	4	0
pub.1021384589	10.1080/13569783.2016.1155439	1	1	0
pub.1021414046	10.1080/13569780308316	1	0	0
pub.1021530160	10.1080/13569780500275907	1	0	6
pub.1021532783	10.1080/13569783.2014.975109	1	7	1
pub.1021498952	10.1080/13569783.2013.872426	1	12	2
pub.1021505847	10.1080/13569780903480971	1	13	5
pub.1021506166	10.1080/13569780601094827	1	6	1
pub.1021513494	10.1080/13569780500276178	1	0	0
pub.1021517650	10.1145/2686873	1	16	2
pub.1021462469	10.1080/13569783.2014.895617	1	7	0
pub.1021736195	10.1080/13569783.2011.590002	1	1	0
pub.1021794685	10.3389/fdigh.2016.00008	1	23	0
pub.1021805133	10.1145/1434763.1434767	1	18	12
pub.1021962223	10.1080/13569780902868812	1	2	2
pub.1022088064	10.1093/llc/fqv036	1	44	5
pub.1022286204	10.1145/2629514	1	41	5
pub.1022167040	10.1080/13569783.2016.1155405	1	5	0
pub.1022169315	10.1080/13569783.2011.589994	1	9	3
pub.1022421721	10.1080/13569780701321070	1	4	4
pub.1022510966	10.1145/2362402.2362406	1	39	8
pub.1022522609	10.1353/dph.2016.0002	1	1	0
pub.1021771482	10.1080/13569783.2015.1059259	1	1	5
pub.1022689451	10.1080/13569783.2010.496185	1	0	0
pub.1022710684	10.1080/13569783.2010.495275	1	3	2
pub.1022799314	10.1145/2442080.2442084	1	21	6
pub.1022752678	10.1080/13569780500437606	1	1	2
pub.1022768506	10.1080/13569780701825252	1	17	1
pub.1022952808	10.1080/13569780903481052	1	3	1
pub.1022976297	10.1080/13569780308334	1	3	1
pub.1023116241	10.1080/13569783.2016.1194195	1	0	0
pub.1023030750	10.1145/2629513	1	21	1
pub.1023306642	10.1145/1367080.1367082	1	31	35
pub.1023314324	10.1080/13569780802054901	1	4	10
pub.1023319212	10.1080/13569783.2012.649018	1	0	0
pub.1023339764	10.5334/johd.1	1	2	2
pub.1023354201	10.1080/13569783.2015.1059268	1	2	0
pub.1023375256	10.1093/llc/fqw014	1	11	0
pub.1023438603	10.1080/1356978042000185957	1	0	0
pub.1023476964	10.1080/13569783.2014.985643	1	3	0
pub.1023530458	10.1080/13569780600671062	1	0	3
pub.1023544697	10.1080/13569780308327	1	0	0
pub.1023499093	10.1080/13569783.2013.839123	1	1	0
pub.1023620435	10.1353/dph.2012.0001	1	0	0
pub.1023638108	10.1353/dph.2015.0004	1	2	1
pub.1023716395	10.1080/13569780600900685	1	1	3
pub.1023825634	10.1080/13569783.2012.648991	1	3	10
pub.1023850543	10.1353/dph.2013.0003	1	2	2
pub.1023863468	10.1353/dph.2012.0014	1	0	0
pub.1023891855	10.1080/13569783.2016.1155408	1	9	3
