id	level	outgoing	incoming	doi
1603249813	1	1	0	10.1023/A:1025779619903
1605898404	1	2	0	10.1045/july2006-lavoie
1605983276	1	6	8	10.1045/october2003-george
1606029644	1	0	0	
1606555179	1	0	1	
1607813805	1	65	15	10.1162/COLI_a_00159
1607983314	1	0	188	10.1162/coli.2006.32.2.159
1607989864	1	1	0	10.1162/089120103322753356
162269857	1	3	3	10.1045/november2000-seadle
166419126	1	25	48	10.1007/s00799-013-0106-7
167864857	1	0	0	10.1162/089120102317341800
168622922	1	0	3	10.1007/s00799-012-0079-y
170186150	1	0	4	10.2218/ijdc.v9i2.335
1731786278	1	0	0	10.1045/november2013-simons
173943492	1	4	4	10.1093/llc/17.4.413
1754785601	1	0	0	10.1093/llc/15.1.5
176213065	1	0	0	10.1007/s00799-012-0092-1
1765847885	1	2	1	10.1162/coli.2008.34.4.627
179818785	1	0	0	10.1045/july2009-papatheodorou
1800833524	1	0	0	10.1007/s00799-009-0052-6
1816158429	1	0	0	10.1093/llc/19.4.497
183387481	1	0	1	10.1045/january2006-foulonneau
1835585730	1	0	0	10.1162/coli.2000.26.2.294a
1836814292	1	14	8	10.2218/ijdc.v4i1.86
1863916568	1	6	0	10.2218/ijdc.v6i1.173
1881672153	1	0	0	10.1045/may2000-rudner
188722717	1	0	0	10.1045/january2010-hillmann
1906647448	1	17	6	10.1045/january2007-coyle
1912458616	1	0	0	10.1045/april2005-hammond
1915405473	1	0	0	10.1007/s00799-004-0096-6
1917410257	1	0	0	10.1162/coli_a_00011
192227682	1	0	7	10.2218/ijdc.v4i3.117
1930432436	1	0	0	10.1162/COLI_a_00229
1936201158	1	3	0	10.1023/B:CHUM.0000031172.03949.48
1959495842	1	0	0	10.1080/09296174.2011.581848
1963725138	1	0	1	10.4995/var.2011.4606
1963832348	1	3	0	10.1093/llc/fqv037
1964133752	1	0	0	10.2218/ijdc.v9i1.304
1964200639	1	0	0	10.1007/s00799-005-0124-1
1964571129	1	2	11	10.1007/PL00021478
1964666638	1	0	2	10.1162/089120101753342662
1964754638	1	3	5	10.1023/A:1013115314064
1965037608	1	0	1	10.1162/coli.2006.32.3.341
1965098385	1	0	0	10.1093/llc/19.4.431
1965473796	1	7	0	10.1045/september2007-treloar
1965608004	1	0	0	10.1007/s00799-010-0058-0
1966290122	1	0	7	10.1045/march2001-vandesompel
1966316286	1	0	0	10.2218/ijdc.v4i2.95
1966380213	1	0	0	10.2218/ijdc.v4i2.103
1966483138	1	0	0	10.1162/089120104773633420
1966823595	1	0	0	10.1076/jqul.10.2.105.16712
1967022257	1	14	6	10.1162/coli.2010.36.1.36102
1967442454	1	0	0	10.1093/llc/fqi031
1967479852	1	0	0	10.1007/s00799-007-0017-6
1967611035	1	5	6	10.1080/09296170801961827
1967737214	1	1	0	10.1080/09296174.2011.533589
1968029619	1	2	2	10.1093/llc/fqs071
1968139773	1	0	0	10.1162/COLI_a_00300
1968183008	1	2	0	10.1045/november2010-byrne
1968228596	1	0	0	10.1162/coli_a_00018
1968514883	1	5	5	10.1045/april2003-lavoie
1968542239	1	2	1	10.1162/089120105775299122
1968876343	1	0	1	10.2218/ijdc.v2i2.30
1968994239	1	0	0	10.1093/llc/fqs003
1969622859	1	0	8	10.1045/january2006-kastens
1969795716	1	0	1	10.2218/ijdc.v9i1.319
1969901793	1	5	1	10.1045/july2013-allen-pt1
1969970577	1	0	0	10.1007/s00799-005-0116-1
1970074551	1	0	0	10.2218/ijdc.v3i2.63
1970092061	1	0	2	10.2218/ijdc.v6i1.168
1970121816	1	0	0	10.1162/COLI_a_00254
1970134017	1	0	8	10.1007/s00799-004-0079-7
1970135748	1	0	0	10.2218/ijdc.v2i1.11
1970225063	1	0	17	
1970731538	1	0	0	10.1007/s00799-014-0135-x
1970789040	1	0	0	
1970925298	1	0	1	10.1045/march2003-witten
1970948046	1	1	15	10.1007/s00799-003-0069-1
1971009218	1	5	1	10.1162/COLI_a_00090
1971292368	1	1	0	
1971901721	1	0	0	10.1023/B:CHUM.0000009291.06947.52
1972105612	1	0	0	10.1045/july2013-allen-pt2
1972506014	1	0	2	10.1007/s00799-007-0015-8
1972581523	1	0	2	10.1007/s00799-015-0137-3
1972763307	1	0	0	10.1045/january2006-thompson
1972918252	1	0	0	10.4995/var.2012.4530
1972949065	1	3	1	10.1007/s00799-015-0150-6
1973357422	1	20	0	
1973472718	1	7	0	10.1076/0929-6174(200004)07:01;1-3;FT019
1973476966	1	0	0	
1973590673	1	12	2	10.7939/R3PK07F52
1973723819	1	2	2	10.2218/ijdc.v7i2.232
1973828412	1	0	0	10.1080/19386380802397083
1973894234	1	1	0	10.1162/COLI_a_00277
1973898388	1	0	0	10.1076/jqul.9.2.125.8487
1973923872	1	0	0	10.1080/09296174.2013.830551
1974322093	1	0	7	10.1045/july2007-rieger
1974411124	1	0	0	10.1093/llc/fqt008
1974450570	1	0	0	10.2218/ijdc.v4i2.96
1974557268	1	0	0	10.1093/llc/fql018
