eid	level	doi
33645963213	1	10.1023/A:1002471112790
33645981036	2	10.1162/0891201053630291
33645983416	2	10.1162/0891201053630264
33645987351	2	10.1007/s00799-004-0080-1
33646052357	2	10.1007/s00799-004-0088-6
33646129193	1	10.1023/A:1017549100097
33646144981	2	NULL
33646185739	2	10.1076/jqul.8.3.175.4096
33646385856	2	10.1162/089120105774321073
33646389801	2	10.1162/089120105775299122
33646391652	2	10.1162/089120105774321091
33646401112	2	10.1162/0891201054223968
33646401340	2	10.1162/089120105775299168
33646401372	2	10.1162/0891201054223986
33646401779	2	10.1162/089120105775299177
33646404912	2	10.1162/0891201053630318
33646406015	2	10.1162/0891201054223977
33646407289	2	10.1162/0891201053630273
33646411246	2	10.1162/0891201054223995
33646415060	2	10.1162/089120105774321064
33646428624	2	10.1162/089120105775299140
33646434217	2	10.1162/089120105774321109
33646760659	2	10.1162/coli.2006.32.1.49
33646760990	2	10.1162/coli.2006.32.1.13
33646811217	2	10.1162/coli.2006.32.1.83
33646817449	2	10.1162/coli.2006.32.1.5
33646875497	2	10.1007/s00146-004-0310-5
33744543602	1	10.1023/B:CHUM.0000031171.79841.02
33744818505	2	10.1007/s00799-004-0081-0
33744923753	2	10.1007/s00799-004-0090-z
33744924536	2	10.1007/s00799-003-0066-4
33745119876	2	10.1007/s00146-005-0019-0
33745121904	2	10.1007/s00146-005-0026-1
33745133090	2	10.1007/s00146-005-0020-7
33745135469	2	10.1007/s00146-005-0027-0
33745149394	2	10.1007/s00146-005-0022-5
33745161913	2	10.1007/s00146-006-0047-4
33745170101	2	10.1007/s00146-005-0028-z
33745173849	2	10.1007/s00146-005-0025-2
33745184725	2	10.1007/s00146-005-0024-3
33745823873	2	10.1162/coli.2006.32.2.273
33745838661	1	10.1023/A:1002419305990
33745853494	2	10.1162/coli.2006.32.2.159
33745867610	2	10.1162/coli.2006.32.2.195
33745910306	2	10.1007/s001460200026
33746052103	1	10.1023/A:1020201615753
33746055743	1	10.1023/A:1025786724466
33746059660	1	10.1023/B:CHUM.0000031185.88395.b1
33746060532	1	10.1007/s10579-006-9001-9
33746060532	2	10.1007/s10579-006-9001-9
33746068301	1	10.1023/A:1022673822140
33746089184	1	10.1007/s10579-006-9002-8
33746089184	2	10.1007/s10579-006-9002-8
33746092490	1	10.1007/s10579-006-9000-x
33746092490	2	10.1007/s10579-006-9000-x
33746098556	1	10.1007/s10579-005-4822-5
33746098556	2	10.1007/s10579-005-4822-5
33746099331	1	10.1007/s10579-005-8622-8
33746099331	2	10.1007/s10579-005-8622-8
33746629172	2	10.1007/s00799-004-0078-8
33746699343	2	10.1007/s00799-004-0083-y
33746733328	2	10.1076/jqul.10.1.41.16549
33746878354	1	10.1023/A:1025729107628
33747456470	2	10.1080/09296170500055293
33747715815	2	10.1007/s00146-006-0049-2
33747732194	2	10.1007/s00146-006-0036-7
33748650310	2	10.1162/coli.2006.32.3.295
33748659884	2	10.1162/coli.2006.32.3.417
33748661515	2	10.1162/coli.2006.32.3.379
33748663090	2	10.1162/coli.2006.32.3.341
33749066849	2	10.1007/s00799-003-0068-2
