id	doi	level	outgoing	incoming
33845689018	10.1007/s10579-004-0754-8	1	0	0
33845692007	10.1023/A:1022629013690	1	0	0
33845692183	10.1023/B:CHUM.0000009226.51168.47	1	6	3
33845693781	10.1023/B:CHUM.0000031184.28781.47	1	0	5
33845695053	10.1023/A:1022657227889	1	0	4
33845695250	10.1023/A:1021855607270	1	4	5
33845695439	10.1023/B:CHUM.0000031172.03949.48	1	4	9
33845695633	10.1023/A:1021803606361	1	7	7
33845696029	10.1023/A:1022604723049	1	6	5
33845698670	10.1023/A:1021826802727	1	0	0
33845701715	10.1023/A:1025039611798	1	2	5
33845704713	10.1023/A:1025775401524	1	1	0
33845706070	10.1007/s10579-004-1110-8	1	0	7
33845708570	10.1023/A:1025064105053	1	1	21
33845710481	10.1007/s10579-004-0233-2	1	5	0
33845711027	10.1023/B:CHUM.0000031083.26339.d4	1	3	0
33845714122	10.1023/B:CHUM.0000009278.73498.f4	1	0	4
33845715317	10.1007/s10579-004-8682-1	1	17	13
33845717516	10.1023/A:1025019216574	1	1	50
33845718259	10.1023/B:CHUM.0000031173.25446.37	1	2	2
33845719342	10.1023/A:1021859725926	1	0	1
33845785312	10.1007/s10579-004-0755-7	1	1	0
33845798758	10.1093/llc/18.1.63	1	0	5
33845970195	10.1007/s10579-004-1367-y	1	1	2
33845980193	10.1007/s10579-004-2323-6	1	0	0
33845984898	10.1007/s10579-004-1919-1	1	5	15
33845993231	10.1007/s10579-004-1948-9	1	9	2
33846011061	10.1007/s10579-004-1917-3	1	6	17
33751384640	10.1007/s10579-004-1906-6	1	3	6
33750933245	10.1093/llc/19.4.509	1	0	14
33847249030	10.1007/s10579-006-9014-4	1	10	22
33847306509	10.1007/s10579-006-9004-6	1	26	20
33847309660	10.1007/s10579-006-9011-7	1	4	10
33847317042	10.1007/s10579-006-9012-6	1	8	12
33847333361	10.1007/s10579-006-9013-5	1	6	12
33947377421	10.1093/llc/fql048	1	10	30
33947378259	10.1093/llc/fql014	1	12	31
33947386292	10.1093/llc/19.4.453	1	0	94
33947388741	10.1093/llc/fqi068	1	2	0
33947391637	10.1093/llc/fql044	1	2	26
33947397567	10.1093/llc/fqi067	1	5	73
33947400280	10.1093/llc/19.4.477	1	0	48
33947420801	10.1093/llc/fqi047	1	0	2
34047194097	10.1093/llc/fql036	1	1	15
34047199573	10.1093/llc/fql037	1	0	10
34047203510	10.1093/llc/fql038	1	2	13
34047203523	10.1093/llc/fql041	1	7	26
34047204283	10.1093/llc/fql042	1	7	49
34047207859	10.1093/llc/fql040	1	14	18
34047210969	10.1093/llc/fql032	1	1	7
34047216918	10.1093/llc/fql039	1	10	11
34047217974	10.1093/llc/fql033	1	5	9
34047218113	10.1093/llc/fql043	1	4	18
34047243205	10.1093/llc/fql034	1	3	11
33847630970	10.1093/llc/19.3.303	1	0	23
34248692944	10.1093/llc/18.2.129	1	0	8
34248694572	10.1093/llc/19.1.55	1	0	0
34248694951	10.1093/llc/19.2.145	1	0	2
34248695296	10.1093/llc/18.4.341	1	0	38
34248697089	10.1093/llc/18.2.167	1	0	21
34248697686	10.1093/llc/18.3.287	1	0	2
34248698535	10.1093/llc/19.1.119	1	0	3
34248698847	10.1093/llc/19.2.181	1	0	1
34248699054	10.1093/llc/19.1.73	1	0	1
34248705495	10.1093/llc/18.3.315	1	0	1
34248700136	10.1093/llc/18.2.175	1	0	9
34248700415	10.1093/llc/18.2.185	1	0	4
34248700458	10.1093/llc/19.1.45	1	0	0
34248701868	10.1093/llc/18.1.23	1	0	10
34248702329	10.1093/llc/19.1.105	1	0	5
34248703028	10.1093/llc/18.3.235	1	0	3
34248715986	10.1093/llc/18.3.261	1	0	29
34248715118	10.1093/llc/19.1.17	1	0	12
34248714793	10.1093/llc/19.4.431	1	0	18
34248708585	10.1093/llc/18.1.89	1	0	2
34548202582	10.1093/llc/fqm009	1	10	6
34548219404	10.1093/llc/fqm011	1	0	3
34548219909	10.1093/llc/fqm022	1	0	0
34548237051	10.1093/llc/19.3.289	1	0	6
34548262569	10.1093/llc/fqm012	1	5	27
34548264568	10.1093/llc/fqm010	1	3	0
34548288405	10.1093/llc/fqm020	1	12	181
34548291336	10.1093/llc/fqm018	1	6	35
34447618648	10.1093/llc/fqm001	1	5	12
34447631030	10.1093/llc/fql049	1	1	4
34447632065	10.1093/llc/fqm002	1	7	8
34447640018	10.1093/llc/fqm006	1	9	20
34447646348	10.1093/llc/fqm004	1	2	3
34447647888	10.1093/llc/fqm003	1	17	7
34547114513	10.1093/llc/fqm008	1	1	2
34248701601	10.1093/llc/18.1.101	1	0	9
34248713321	10.1093/llc/18.1.49	1	0	1
34248713150	10.1093/llc/19.4.497	1	0	10
34248713031	10.1093/llc/18.2.209	1	0	28
34248712127	10.1093/llc/19.1.93	1	0	0
35548936586	10.1007/s10579-007-9034-8	1	0	8
35548948053	10.1007/s10579-007-9031-y	1	8	56
35548949870	10.1007/s10579-007-9030-z	1	20	2
35548951858	10.1007/s10579-007-9041-9	1	4	6
35548953621	10.1007/s10579-007-9036-6	1	16	12
35548956967	10.1007/s10579-007-9029-5	1	6	0
35548966244	10.1007/s10579-007-9021-0	1	8	10
35548951396	10.1007/s10579-007-9023-y	1	20	6
35548967650	10.1007/s10579-007-9024-x	1	4	12
35548968033	10.1007/s10579-007-9019-7	1	20	76
35548980050	10.1007/s10579-007-9025-9	1	12	6
35548982223	10.1007/s10579-007-9020-1	1	10	20
35548985014	10.1007/s10579-007-9026-8	1	0	8
35548986671	10.1007/s10579-007-9032-x	1	6	10
35549007628	10.1007/s10579-007-9022-z	1	2	6
35648941630	10.1093/llc/fqm023	1	10	75
35648950454	10.1093/llc/fqm021	1	19	12
35648951647	10.1093/llc/fqm024	1	3	0
35648952846	10.1093/llc/fqm017	1	5	2
35648971537	10.1093/llc/fqm026	1	12	6
35648992962	10.1093/llc/fqm019	1	3	3
35649011948	10.1093/llc/fqm028	1	2	1
35948939751	10.1007/s10579-007-9028-6	1	6	28
35948945413	10.1007/s10579-007-9033-9	1	12	2
35948954408	10.1007/s10579-007-9044-6	1	18	88
35948981862	10.1007/s10579-007-9040-x	1	2	390
35948998533	10.1007/s10579-007-9035-7	1	54	16
35949002868	10.1007/s10579-007-9042-8	1	10	12
36148942446	10.1007/s10579-007-9016-x	1	16	20
36148958974	10.1007/s10579-006-9003-7	1	4	2
36148985330	10.1007/s10579-007-9015-y	1	26	0
36248950136	10.1007/s10579-007-9018-8	1	16	44
36249009832	10.1007/s10579-007-9017-9	1	26	10
37849185041	10.1007/s10579-006-9010-8	1	16	4
37849185259	10.1007/s10579-006-9006-4	1	26	36
37849186383	10.1007/s10579-006-9009-1	1	14	18
37849187404	10.1007/s10579-006-9007-3	1	44	10
4243059876	10.1023/A:1017569003556	1	4	6
37849187407	10.1007/s10579-006-9005-5	1	0	0
37849188829	10.1007/s10579-006-9008-2	1	16	6
39449092985	10.1093/llc/fqm045	1	14	36
41149090828	10.1093/llc/fqm042	1	1	35
41149094639	10.1093/llc/fqm040	1	2	2
