id	doi	level	outgoing	incoming
000225691700003	10.1007/s10579-004-0754-8	1	0	0
000225691700004	10.1007/s10579-004-1110-8	1	0	3
000225691700005	10.1007/s10579-004-0755-7	1	0	0
000281401300001	10.1080/13569783.2010.495263	1	0	0
000281401300002	10.1080/13569783.2010.495264	1	0	2
000281401300003	10.1080/13569783.2010.495266	1	2	1
000281401300004	10.1080/13569783.2010.495269	1	3	0
000281401300005	10.1080/13569783.2010.495270	1	3	0
000281401300006	10.1080/13569783.2010.495272	1	1	2
000281401300007	10.1080/13569783.2010.495274	1	0	0
000281401300008	10.1080/13569783.2010.495275	1	0	2
000281401300009	10.1080/13569783.2010.495278	1	0	1
000281401300010	10.1080/13569783.2010.495279	1	0	0
000283876600001	10.1080/13569783.2010.512182	1	1	2
000283876600002	10.1080/13569783.2010.512183	1	2	0
000283876600003	10.1080/13569783.2010.512184	1	0	1
000283876600004	10.1080/13569783.2010.512186	1	2	1
000283876600005	10.1080/13569783.2010.512187	1	2	7
000283876600006	10.1080/13569783.2010.512189	1	2	1
000283876600007	10.1080/13569783.2010.512190	1	0	2
000283876600008	10.1080/13569783.2010.512191	1	1	4
000283876600009	10.1080/13569783.2010.512192	1	1	0
000284753400001	10.1093/llc/fqn037	1	0	0
000284753400002	10.1093/llc/fqn032	1	2	2
000284753400003	10.1093/llc/fqn031	1	0	0
000284753400004	10.1093/llc/fqn034	1	0	1
000284753400005	10.1093/llc/fqn030	1	0	4
000284753400006	10.1093/llc/fqn036	1	0	0
000284753400007	10.1093/llc/fqn038	1	2	4
000284753400008	10.1093/llc/fqn035	1	1	1
000284753400009	10.1093/llc/fqn033	1	6	1
000284753400010	10.1093/llc/fqn039	1	2	0
000284754100001	10.1093/llc/fqp013	1	0	0
000284754100002	10.1093/llc/fqp007	1	9	1
000284754100003	10.1093/llc/fqp008	1	5	0
000284754100004	10.1093/llc/fqp012	1	0	0
000284754100005	10.1093/llc/fqp010	1	1	11
000284754100006	10.1093/llc/fqp001	1	0	0
000284754100007	10.1093/llc/fqp005	1	0	2
000284754100008	10.1093/llc/fqp003	1	4	2
000284754100009	10.1093/llc/fqp006	1	3	2
000284754100010	10.1093/llc/fqp009	1	6	15
000284754100011	10.1093/llc/fqn042	1	0	0
000284754100012	10.1093/llc/fqn041	1	0	0
000284754100013	10.1093/llc/fqp004	1	0	0
000284754800001	10.1093/llc/fqp014	1	0	0
000284754800002	10.1093/llc/fqp015	1	2	2
000284754800003	10.1093/llc/fqp016	1	0	0
000284754800004	10.1093/llc/fqp017	1	0	2
000284754800005	10.1093/llc/fqp018	1	4	1
000284754800006	10.1093/llc/fqp019	1	0	0
000284754800007	10.1093/llc/fqp020	1	0	3
000284754800008	10.1093/llc/fqp021	1	1	0
000284754800009	10.1093/llc/fqp022	1	0	0
000284754800010	10.1093/llc/fqp023	1	3	0
000284754800011	10.1093/llc/fqp024	1	2	1
000284755400001	10.1093/llc/fqn043	1	1	2
000284755400002	10.1093/llc/fqn012	1	1	28
000284755400003	10.1093/llc/fqp026	1	2	1
000284755400004	10.1093/llc/fqp002	1	9	23
000284755400005	10.1093/llc/fqn044	1	2	0
000284755400006	10.1093/llc/fqp025	1	3	2
000284755400007	10.1093/llc/fqp027	1	1	5
000284755400008	10.1093/llc/fqp028	1	0	0
000284755400009	10.1093/llc/fqp011	1	0	0
000284757100001	10.1093/llc/fqp032	1	2	1
000284757100002	10.1093/llc/fqp035	1	3	2
000284757100003	10.1093/llc/fqp033	1	3	13
000284757100004	10.1093/llc/fqp031	1	6	1
000284757100005	10.1093/llc/fqp029	1	6	6
000284757100006	10.1093/llc/fqp037	1	0	4
000284757100007	10.1093/llc/fqp034	1	3	2
000284757100008	10.1093/llc/fqp036	1	9	3
000284757100009	10.1093/llc/fqp041	1	1	0
000284758300001	10.1093/llc/fqq004	1	2	2
000284758300002	10.1093/llc/fqp038	1	1	3
000284758300003	10.1093/llc/fqp030	1	6	2
000284758300004	10.1093/llc/fqq005	1	2	9
000284758300005	10.1093/llc/fqq002	1	2	1
000284758300006	10.1093/llc/fqq001	1	10	74
000284758300007	10.1093/llc/fqp039	1	7	0
000284758300008	10.1093/llc/fqp040	1	5	1
000284758300009	10.1093/llc/fqp042	1	1	0
000284758900001	10.1093/llc/fqq003	1	6	4
000284758900002	10.1093/llc/fqq011	1	9	15
000284758900003	10.1093/llc/fqq006	1	3	12
000284758900004	10.1093/llc/fqq008	1	7	1
000284758900005	10.1093/llc/fqq007	1	13	4
000284758900006	10.1093/llc/fqq010	1	0	0
000284758900007	10.1093/llc/fqq012	1	0	0
000284758900008	10.1093/llc/fqq009	1	0	0
000285641500001	10.1093/llc/fqq023	1	0	0
000285641500002	10.1093/llc/fqq020	1	3	3
000285641500003	10.1093/llc/fqq026	1	3	0
000285641500004	10.1093/llc/fqq024	1	0	0
000285641500005	10.1093/llc/fqq021	1	6	26
000285641500006	10.1093/llc/fqq019	1	3	9
000285641500007	10.1093/llc/fqq022	1	0	8
000285641500008	10.1093/llc/fqq018	1	12	67
000287404800001	10.1080/13569783.2011.541596	1	0	0
000287404800002	10.1080/13569783.2011.541598	1	2	1
000287404800003	10.1080/13569783.2011.541600	1	5	8
000287404800004	10.1080/13569783.2011.541607	1	1	0
000287404800005	10.1080/13569783.2011.541608	1	4	0
000287404800006	10.1080/13569783.2011.541610	1	7	1
000287404800007	10.1080/13569783.2011.541612	1	0	0
000287404800008	10.1080/13569783.2011.560483	1	1	0
000287404800009	10.1080/13569783.2011.541613	1	5	7
000287404800010	10.1080/13569783.2011.541616	1	0	0
000287404800011	NULL	1	0	0
000287404800012	NULL	1	0	0
000287404800013	NULL	1	0	0
000288801500001	10.1093/llc/fqr003	1	0	0
000288801500002	10.1093/llc/fqr002	1	0	1
000288801500003	10.1093/llc/fqq016	1	9	1
000288801500004	10.1093/llc/fqq027	1	3	2
000288801500005	10.1093/llc/fqq013	1	14	47
000288801500006	10.1093/llc/fqq015	1	0	0
000288801500007	10.1093/llc/fqq029	1	18	11
000288801500008	10.1093/llc/fqq014	1	2	1
000288801500009	10.1093/llc/fqq017	1	7	6
000288801500010	10.1093/llc/fqq028	1	16	3
000288801500011	10.1093/llc/fqq025	1	0	1
000291063000001	10.1093/llc/fqr005	1	2	3
000291063000002	10.1093/llc/fqr001	1	4	9
000291063000003	10.1093/llc/fqr004	1	7	9
000291063000004	10.1093/llc/fqr008	1	1	0
000291063000005	10.1093/llc/fqr006	1	3	5
000291063000006	10.1093/llc/fqr007	1	0	1
000291063000007	10.1093/llc/fqr010	1	11	1
000291063000008	10.1093/llc/fqr014	1	0	0
000296132100001	10.1093/llc/fqr034	1	2	6
000296132100002	10.1093/llc/fqr018	1	15	10
000296132100003	10.1093/llc/fqr009	1	3	1
000296132100004	10.1093/llc/fqr026	1	11	1
000296132100005	10.1093/llc/fqr013	1	15	42
000296132100006	10.1093/llc/fqr033	1	4	14
000296132100007	10.1093/llc/fqr037	1	0	0
000296132100008	10.1093/llc/fqr035	1	0	0
000296132100009	10.1093/llc/fqr027	1	0	0
000296132100010	10.1093/llc/fqr030	1	0	0
000299627600001	10.1080/13569783.2011.566986	1	2	4
000299627600002	10.1080/13569783.2011.566987	1	2	3
000299627600003	10.1080/13569783.2011.566988	1	5	2
